analysis,feature_set,model,n_rows,n_athletes,target,r2_mean,r2_ci_low,r2_ci_high,r2_sd,mae_mean,mae_ci_low,mae_ci_high,rmse_mean,rmse_ci_low,rmse_ci_high
future_next_observation,context_current,RandomForest,1034,289,next_points,0.6350667561430192,0.4571557035929871,0.8129778086930514,0.12815744292366085,41.153097826649656,33.83985543917179,48.46634021412752,68.24986416195205,53.89824477520767,82.60148354869642
future_next_observation,context_current,GradientBoosting,1034,289,next_points,0.6141092896611803,0.4323779789122721,0.7958406004100884,0.1309093490872108,42.9037002522338,35.277470620699134,50.52992988376846,70.2065862121876,56.036630268366636,84.37654215600857
future_next_observation,context_current_implements,Ridge,1034,289,next_points,0.6292409706363638,0.3899408208737003,0.8685411203990272,0.17237880865331592,43.35655946003171,34.576170698338196,52.13694822172523,68.08347983137769,48.99876648247275,87.16819318028263
future_next_observation,context_current_implements,RandomForest,1034,289,next_points,0.6352610258529319,0.4605996943434265,0.8099223573624372,0.12581652068864668,41.73743841698493,35.29801121388382,48.17686562008604,68.293558820285,54.18836645858585,82.39875118198415
future_next_observation,context_current_implements,GradientBoosting,1034,289,next_points,0.603213040202705,0.4480648989913292,0.7583611814140809,0.11176028002204844,43.33615841202105,36.14390501151588,50.528411812526215,71.61039177959177,60.016389153413705,83.20439440576983
future_next_observation,g1_current,Ridge,1034,289,next_points,0.6283622223194871,0.3962697586546553,0.860454685984319,0.16718678372594525,43.710366150524905,35.91232071348041,51.5084115875694,68.20034858187658,49.7934652212452,86.60723194250797
future_next_observation,g1_current,RandomForest,1034,289,next_points,0.6278218296594638,0.4463010417622761,0.8093426175566514,0.13075769987842484,43.22662276050344,36.764506252209095,49.68873926879778,68.94993830955777,54.40318195940051,83.49669465971502
future_next_observation,g1_current,GradientBoosting,1034,289,next_points,0.6075584032361842,0.4508011777520782,0.7643156287202901,0.11291937678914662,44.89635538769687,37.30691002563003,52.48580074976371,71.26926143685857,56.991256076156375,85.54726679756077
future_next_observation,broader_g1_current,Ridge,1034,289,next_points,0.6259832681559602,0.3931051884257364,0.858861347886184,0.16775269879764693,43.88276245806894,35.98263929114437,51.782885624993504,68.42727506303471,50.04477014164664,86.80977998442279
future_next_observation,broader_g1_current,RandomForest,1034,289,next_points,0.6288024330157911,0.4482417187186786,0.8093631473129036,0.13006611509018043,43.16292569433131,36.51780258753511,49.808048801127505,68.88403160915342,54.40790290722058,83.36016031108626
future_next_observation,broader_g1_current,GradientBoosting,1034,289,next_points,0.5891996776722832,0.4500235889566522,0.7283757663879142,0.10025488237104252,45.142983023884035,38.227014078402064,52.05895196936601,73.20867038336715,61.699948936769545,84.71739182996475
future_horizon_max,g1_tests_only,Ridge,1041,289,future_max_points,0.24969123528587095,0.16565243054465714,0.33373004002708473,0.060536982765396145,82.21686380113499,74.9317172211121,89.50201038115789,100.79739595714133,94.15924825629261,107.43554365799005
future_horizon_max,g1_tests_only,RandomForest,1041,289,future_max_points,0.15038462176926087,0.01747626389783008,0.28329297964069167,0.0957399500696861,87.24274779198672,80.98136199587893,93.5041335880945,106.99214764618114,103.03405490771218,110.9502403846501
future_horizon_max,g1_tests_only,GradientBoosting,1041,289,future_max_points,0.16485861470771526,0.06149710157321764,0.2682201278422129,0.074456010631,86.26614331759185,80.19410320500987,92.33818343017384,106.23196039503121,101.47100863882504,110.99291215123738
future_horizon_max,context_g1_no_current,Ridge,1041,289,future_max_points,0.3508381882473062,0.2865747037974127,0.4151016726971998,0.046291917913007206,76.82286316284225,67.56410517254632,86.08162115313819,94.04983515508648,82.05479533941708,106.04487497075588
future_horizon_max,context_g1_no_current,RandomForest,1041,289,future_max_points,0.307455702860132,0.197381869049365,0.41752953667089904,0.0792912012592629,78.27097476321745,70.42046769566774,86.12148183076717,96.79753512802563,87.61900845260523,105.97606180344603
future_horizon_max,context_g1_no_current,GradientBoosting,1041,289,future_max_points,0.336355830334056,0.3040996065963141,0.368612054071798,0.023235628665846764,77.14430402092805,70.19884846280912,84.08975957904697,94.99039125372175,86.83178079147464,103.14900171596886
future_horizon_max,current_only,Ridge,1041,289,future_max_points,0.5593885630004964,0.3227039542707181,0.7960731717302748,0.1704947151929493,55.73589819706007,40.692433973881336,70.7793624202388,76.3912079220099,52.911110019552524,99.87130582446727
future_horizon_max,current_only,RandomForest,1041,289,future_max_points,0.5346065893556278,0.3650818063333706,0.7041313723778849,0.12211643061473743,56.22974858698567,44.05693743814102,68.40255973583032,79.11981968881707,61.884316396160656,96.35532298147349
future_horizon_max,current_only,GradientBoosting,1041,289,future_max_points,0.5361313532522949,0.37748108143076187,0.6947816250738279,0.1142830243785645,56.355091967030226,44.04682186924235,68.6633620648181,79.1137413743717,61.83053320987534,96.39694953886806
