outcome,model,feature_set,n_rows,n_positive,positive_rate,calibration_intercept_oof,calibration_slope_oof,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,roc_auc_oof,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high,pr_auc_oof,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_oof,f1_mean,f1_ci_low,f1_ci_high,f1_oof,brier_mean,brier_ci_low,brier_ci_high,brier_oof
improve_ge75,GradientBoosting,context_current,289,92,0.31833910034602075,-0.45261772912601855,0.35466987018158846,0.688787486879592,0.649903030004969,0.7276719437542151,0.6915691900242773,0.5096838929086009,0.41925028268091724,0.6001175031362846,0.4823765989301968,0.6151057130004498,0.5569433449816835,0.6732680810192161,0.6165857426616641,0.46585699056343033,0.3664703010139777,0.565243680112883,0.47191011235955055,0.2227117210912926,0.19973160009996535,0.24569184208261988,0.22267995932158596
improve_ge75,GradientBoosting,g1_current,289,92,0.31833910034602075,-0.39593228127081376,0.3867004021983822,0.7022608337082021,0.6675691907711642,0.7369524766452401,0.6916795409401898,0.5298617295260402,0.5146976907277234,0.5450257683243569,0.49657417404168347,0.6088821412505623,0.5847732573486597,0.6329910251524649,0.6097163981461047,0.44308775234231623,0.38552333119414806,0.5006521734904844,0.4484848484848485,0.21788482569048928,0.18829575134588236,0.2474739000350962,0.21794697000875954
future_ge900,LogisticRegression,context_current,289,79,0.27335640138408307,-0.9296853640170751,0.857528193922297,0.856170634920635,0.7929078671371649,0.9194334027041052,0.8527426160337553,0.6922273368483617,0.5728054574910412,0.8116492162056822,0.6736175337249818,0.8029761904761903,0.7402001147050282,0.8657522662473524,0.8018685955394816,0.6828792775100874,0.6116411535288369,0.7541174014913379,0.6842105263157895,0.15356298520240858,0.11834316774452816,0.188782802660289,0.15347771921147763
future_ge900,LogisticRegression,g1_current,289,79,0.27335640138408307,-0.9191821862411312,0.8176682178051836,0.8506547619047617,0.7852773142998162,0.9160322095097073,0.846895720313442,0.6880483867031068,0.5635264268030304,0.8125703466031831,0.6721582152584071,0.807738095238095,0.7419247015508262,0.8735514889253638,0.8066305003013864,0.6906636595555884,0.6115104346764582,0.7698168844347186,0.6914893617021277,0.1548494401907198,0.11696690952629127,0.19273197085514834,0.15475623713896658
future_ge900,RandomForest,context_current,289,79,0.27335640138408307,-0.710678677507218,1.162340287666376,0.858720238095238,0.7894748680894286,0.9279656081010474,0.8586799276672694,0.6763851916158955,0.49942355238895236,0.8533468308428387,0.6278621054212418,0.8183333333333331,0.7448386076459634,0.8918280590207028,0.8177215189873418,0.7052228163992871,0.6119374798936345,0.7985081529049397,0.7058823529411765,0.1429556337758479,0.1103774453795715,0.17553382217212432,0.14291229860625893
future_ge900,RandomForest,g1_current,289,79,0.27335640138408307,-0.5497816505603536,1.2318202396206464,0.8660119047619046,0.7900551595127618,0.9419686500110473,0.8649789029535865,0.7172396661147571,0.5561061809950045,0.8783731512345097,0.6795330193810575,0.812857142857143,0.7472518882239618,0.8784623974903241,0.8122664255575648,0.7142948279790385,0.6238980726235913,0.8046915833344858,0.7134502923976608,0.1379952968447008,0.10557304988340308,0.17041754380599852,0.13796438888181733
future_ge900,GradientBoosting,context_current,289,79,0.27335640138408307,-0.36506835957340245,0.5375877883984888,0.8349007936507936,0.7656534624839356,0.9041481248176516,0.8362266425557564,0.6979038343010506,0.5480759572025778,0.8477317113995234,0.6757007550277078,0.7308333333333333,0.640973381708771,0.8206932849578956,0.7308016877637131,0.6117386645612453,0.47560780783944256,0.747869521283048,0.6103896103896104,0.14588772431268712,0.09369239703416367,0.1980830515912106,0.14589080064516116
future_ge900,GradientBoosting,g1_current,289,79,0.27335640138408307,-0.19472415134603543,0.5763058778996027,0.8411706349206349,0.7859905865360209,0.8963506833052489,0.8393610608800481,0.7214453581444621,0.6169809314527857,0.8259097848361385,0.7028939208832516,0.7211904761904762,0.6824524070356548,0.7599285453452975,0.7213381555153706,0.5994961332697706,0.5342766973416609,0.6647155691978802,0.5986394557823129,0.1481405626928745,0.11486770993332737,0.18141341545242165,0.14813320769629099
future_ge950,LogisticRegression,context_current,289,41,0.14186851211072665,-1.7039223247566961,0.828177008812113,0.8526587301587302,0.793779443792453,0.9115380165250073,0.8468725413060582,0.6055833650097021,0.4026763161218133,0.8084904138975909,0.5642613362798985,0.7463798185941043,0.655638226598059,0.8371214105901496,0.7469020456333595,0.46007326007326005,0.35922219125750315,0.560924328889017,0.46153846153846156,0.1546043126969138,0.14129783598414697,0.16791078940968063,0.15456424480892803
future_ge950,LogisticRegression,g1_current,289,41,0.14186851211072665,-1.6447660331957594,0.7715537520503651,0.8615340136054421,0.79568785234625,0.9273801748646343,0.8461841070023604,0.6276604806089856,0.42357750422643764,0.8317434569915336,0.5805478359842445,0.7710430839002267,0.7247253886016827,0.8173607791987707,0.7711939417781275,0.49523809523809526,0.4456854547526717,0.5447907357235188,0.496,0.14726081261327723,0.13347873869162238,0.16104288653493207,0.1472523154315922
future_ge950,RandomForest,context_current,289,41,0.14186851211072665,-1.1544781295983895,1.2604470761618283,0.8539183673469388,0.8186718657561279,0.8891648689377497,0.8488394964594808,0.6199243904464249,0.5475270224558263,0.6923217584370235,0.5908116739736575,0.7475249433106577,0.6866397987953289,0.8084100878259864,0.7465086546026751,0.5088888888888888,0.43894848414279086,0.5788292936349868,0.5098039215686274,0.12058202065663308,0.11446587752780767,0.1266981637854585,0.12055810139482064
future_ge950,RandomForest,g1_current,289,41,0.14186851211072665,-0.7881250993111274,1.2860158313567307,0.851563492063492,0.8057218542795578,0.8974051298474263,0.8515932336742722,0.6529219456413662,0.5170853133470658,0.7887585779356666,0.6387753603836321,0.7238514739229025,0.6002892945722189,0.8474136532735861,0.7239378442171518,0.5188939165409754,0.3201599787861035,0.7176278542958472,0.5176470588235295,0.09978168551872199,0.08723501963349925,0.11232835140394473,0.09979894458380634
future_ge950,GradientBoosting,context_current,289,41,0.14186851211072665,-0.6320414521680584,0.4977624472764661,0.8323259637188208,0.7624731735993895,0.9021787538382522,0.8352183320220299,0.6521180026113731,0.5567013366330981,0.7475346685896481,0.6525364281095806,0.7313514739229025,0.6728199792108468,0.7898829686349581,0.731904012588513,0.5654578754578755,0.45909231403210793,0.6718234368836431,0.5675675675675675,0.0903894988656582,0.07200895949730347,0.10877003823401292,0.090456413566752
future_ge950,GradientBoosting,g1_current,289,41,0.14186851211072665,-0.5813969293192826,0.5053297110370003,0.8444659863945578,0.7951264419013031,0.8938055308878126,0.8485444531864673,0.6615274609680831,0.5796975928380055,0.7433573290981608,0.6395374978641837,0.7203628117913832,0.6638276454847054,0.7768979780980609,0.7197088906372935,0.5514253393665158,0.43756501631489686,0.6652856624181348,0.547945205479452,0.0882143934440666,0.06778267177122256,0.10864611511691065,0.08830085611169944
