minimum_future_observations,n_instances,n_unique_athletes,analysis,target,model,feature_set,fold,n_rows,n_athletes,r2,mae,rmse
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,context_current_implements,5,104,25,0.5508311867387973,71.0593343889077,88.77946663434184
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,g1_current,1,105,25,0.600900019307171,45.68485503257176,59.5472635294828
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,g1_current,2,105,26,0.25546892109604635,55.13935889852508,75.14637211271382
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,g1_current,3,105,26,0.7456513170594312,45.82316949959976,59.073060000642656
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,g1_current,4,105,26,0.7075205008735683,43.08801199784506,53.49863543727854
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,g1_current,5,104,25,0.5386380314249606,72.48079938928504,89.97640355028484
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,context_current_implements,1,105,25,0.5402230565617279,50.71472182621084,63.9137867741499
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,context_current_implements,2,105,26,0.27618685646017704,52.505941159589234,74.09345314764799
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,context_current_implements,3,105,26,0.6967855679018682,50.15217469440385,64.49850610219079
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,context_current_implements,4,105,26,0.7325483812417088,38.36651776377128,51.15847677986686
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,context_current_implements,5,104,25,0.4806752406368964,76.13845477260361,95.46127893706915
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,g1_current,1,105,25,0.535143126302253,50.54868446876695,64.26589847679635
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,g1_current,2,105,26,0.18213120248555859,57.50431929068406,78.76049247003368
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,g1_current,3,105,26,0.7131481795619947,49.88120105704173,62.7340790212493
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,g1_current,4,105,26,0.6883922628983077,44.5112971712623,55.22034376281775
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,g1_current,5,104,25,0.5119235147858906,74.00266270673036,92.5447265445686
