analysis,target,feature_set,model,n_rows,n_athletes,original_r2_fold_mean,corrected_r2_fold_mean,change_r2_fold_mean,original_r2_oof,corrected_r2_oof,change_r2_oof,original_mae_fold_mean,corrected_mae_fold_mean,change_mae_fold_mean,original_mae_oof,corrected_mae_oof,change_mae_oof,original_rmse_fold_mean,corrected_rmse_fold_mean,change_rmse_fold_mean,original_rmse_oof,corrected_rmse_oof,change_rmse_oof
future_next_observation,next_points,context_current_implements,GradientBoosting,1034,289,0.6009651171430334,0.603213040202705,0.002247923059671697,0.6215018040745934,0.6260159086233044,0.004514104548710929,43.564905760459894,43.33615841202105,-0.22874734843884426,43.5599134871358,43.3315943714827,-0.22831911565310037,71.87866845527894,71.61039177959177,-0.2682766756871757,72.51671382763872,72.08298664935431,-0.4337271782844141
future_next_observation,next_points,g1_current,GradientBoosting,1034,289,0.6155658881056715,0.6075584032361842,-0.008007484869487325,0.6366309925903636,0.6269123965790725,-0.009718596011291103,43.480526019306275,44.89635538769687,1.4158293683905967,43.477703259118805,44.89499370679352,1.4172904476747163,70.49466260745453,71.26926143685857,0.7745988294040416,71.05262866357003,71.99653871767411,0.9439100541040801
future_horizon_max,future_max_points,current_only,Ridge,1041,289,0.6154845970357534,0.5593885630004964,-0.05609603403525698,0.6296929561309993,0.5703922411328144,-0.0593007149981849,49.19871182637213,55.73589819706007,6.537186370687934,49.192299976259676,55.72980273460627,6.537502758346591,71.16838014134987,76.3912079220099,5.222827780660026,72.62902215052955,78.22854785721199,5.599525706682442
future_horizon_max,future_max_points,context_current,Ridge,1041,289,0.6426443617702464,0.6002263925724098,-0.04241796919783658,0.656102105168689,0.6108833738393395,-0.045218731329349504,49.53357222891513,53.43690414391108,3.9033319149959453,49.52891979095489,53.43257492835671,3.9036551374018202,68.96473862408298,73.01504512991623,4.050306505833248,69.99128534110254,74.45075466575015,4.459469324647614
future_horizon_max,future_max_points,context_current_implements,Ridge,1041,289,0.641165506689549,0.5984973124074833,-0.0426681942820657,0.6542140857871277,0.6086807002424923,-0.045533385544635374,49.55953324027833,53.4195299012957,3.8599966610173695,49.55481875548465,53.41510164387666,3.860282888392007,69.12062830284908,73.18468320768767,4.064054904838585,70.18315047115848,74.66117909820377,4.4780286270452905
future_horizon_max,future_max_points,g1_current,Ridge,1041,289,0.6496278919479244,0.6073053720761131,-0.04232251987181124,0.6634160144220858,0.618771510571906,-0.044644503850179706,49.475463650359835,53.361730706778324,3.8862670564184896,49.47336723130638,53.36026818033288,3.886900949026497,68.38812291350355,72.52597545114506,4.137852537641507,69.2430094219824,73.69226150639193,4.4492520844095225
future_horizon_max,future_max_points,current_only,RandomForest,1041,289,0.6355076977263697,0.5346065893556277,-0.10090110837074207,0.6487382874962477,0.5498594508479064,-0.0988788366483413,45.639947766330465,56.22974858698567,10.589800820655206,45.63040782967781,56.223153760318105,10.592745930640298,69.42295298005317,79.11981968881707,9.696866708763906,70.73667105832953,80.07616737542334,9.339496317093804
future_horizon_max,future_max_points,context_current,RandomForest,1041,289,0.6511060584221392,0.5931495027706785,-0.05795655565146074,0.6639476911784171,0.6074308186645224,-0.0565168725138947,45.365496887209865,51.06938517798922,5.7038882907793536,45.36136803795758,51.0664015859536,5.705033547996017,68.14351829047175,74.00458315556457,5.861064865092828,69.18829878487345,74.78031868137168,5.592019896498229
future_horizon_max,future_max_points,context_current_implements,RandomForest,1041,289,0.6560415384433412,0.598014094756887,-0.05802744368645418,0.6679857109969611,0.6113092728106755,-0.05667643818628565,45.29482363947576,51.27024127424458,5.975417634768824,45.29050982890413,51.26777275443756,5.977262925533431,67.67004682003967,73.53730675540524,5.867259935365567,68.77135763199685,74.40999929974252,5.638641667745674
future_horizon_max,future_max_points,g1_current,RandomForest,1041,289,0.6641738846432853,0.6062871606407286,-0.05788672400255668,0.6754723483234122,0.6174391168799203,-0.05803323144349193,45.621150227912494,51.40939665070157,5.788246422789072,45.61550067328579,51.40525664498429,5.789755971698504,66.79407706613952,72.82016441940178,6.026087353262255,67.99156912520554,73.82092642218727,5.829357296981726
future_horizon_max,future_max_points,current_only,GradientBoosting,1041,289,0.6564338687617965,0.5361313532522949,-0.12030251550950166,0.6703145625195359,0.5498541256954897,-0.12046043682404617,45.189298446015826,56.355091967030226,11.1657935210144,45.18176438533063,56.34847102870026,11.16670664336963,67.37214705272945,79.1137413743717,11.741594321642253,68.5297413438248,80.07664102363822,11.546899679813421
future_horizon_max,future_max_points,context_current,GradientBoosting,1041,289,0.6454341954982334,0.5837235963651524,-0.06171059913308108,0.6602694639483953,0.5961942815897713,-0.06407518235862397,46.379342299144234,52.673097367079436,6.2937550679352015,46.3757941800718,52.66907371308501,6.293279533013212,68.43103177542172,75.09919030797133,6.6681585325496116,69.5659151388734,75.84298943498014,6.277074296106747
future_horizon_max,future_max_points,context_current_implements,GradientBoosting,1041,289,0.642551173984763,0.5786348621869,-0.06391631179786306,0.6549905087701157,0.5893031271774902,-0.06568738159262544,46.533894700597095,53.37855108306485,6.844656382467754,46.530298481311846,53.3741097417929,6.843811260481054,68.7680113659215,75.50090283718728,6.732891471265788,70.1043120454361,76.48740177002007,6.383089724583968
future_horizon_max,future_max_points,g1_current,GradientBoosting,1041,289,0.6813216951373995,0.6160480973711457,-0.06527359776625374,0.6941250215234656,0.6289981786797647,-0.06512684284370085,44.94091792958421,51.309659236080584,6.368741306496375,44.93731861839926,51.30594467450836,6.3686260561091,65.23495377827867,71.88464859703359,6.649694818754924,66.00870101437539,72.69712423084646,6.688423216471065
