outcome,model,feature_set,repeat,roc_auc,pr_auc,balanced_accuracy,f1,brier
future_ge950,RandomForest,context_current,8,0.8234657749803305,0.5101857440327195,0.7282651455546814,0.4807692307692308,0.12799866781620103
future_ge950,RandomForest,context_current,9,0.8429878048780487,0.5595843960851442,0.7323957513768686,0.47706422018348627,0.12408238122542388
future_ge950,RandomForest,context_current,10,0.8471675845790716,0.56520958522962,0.7608182533438238,0.5137614678899083,0.1230648716840114
future_ge950,RandomForest,g1_current,1,0.8515932336742722,0.6387753603836321,0.7239378442171518,0.5176470588235295,0.09979894458380632
future_ge950,RandomForest,g1_current,2,0.86713217938631,0.6578697825404738,0.7136605035405192,0.5263157894736842,0.09525049008181125
future_ge950,RandomForest,g1_current,3,0.8299567269866247,0.5935142824709154,0.703579858379229,0.49382716049382713,0.10710634087362689
future_ge950,RandomForest,g1_current,4,0.8291699449252556,0.6041210987129232,0.6913847364280095,0.475,0.1047453067165046
future_ge950,RandomForest,g1_current,5,0.8492328874901652,0.6438213390571181,0.7218233674272226,0.5316455696202531,0.10023786837076977
future_ge950,RandomForest,g1_current,6,0.84441384736428,0.6310295326516424,0.7096282454760031,0.5128205128205128,0.10192554923435354
future_ge950,RandomForest,g1_current,7,0.8299567269866247,0.6121404278012121,0.7096282454760031,0.5128205128205128,0.1043708849171126
future_ge950,RandomForest,g1_current,8,0.8267112509834775,0.619477060565387,0.705497639653816,0.5205479452054794,0.10358158008742709
future_ge950,RandomForest,g1_current,9,0.8628048780487806,0.6700584858649923,0.7584087332808811,0.5853658536585366,0.09720677008136508
future_ge950,RandomForest,g1_current,10,0.8546420141620771,0.6425935229556935,0.7198072383949645,0.525,0.099276705744529
future_ge950,GradientBoosting,context_current,1,0.8352183320220299,0.6525364281095806,0.731904012588513,0.5675675675675675,0.090456413566752
future_ge950,GradientBoosting,context_current,2,0.8417092840283241,0.6784106068241691,0.7399685287175453,0.6,0.07948733740885354
future_ge950,GradientBoosting,context_current,3,0.7927812745869395,0.5768156362157124,0.731904012588513,0.5675675675675675,0.09658487660799404
future_ge950,GradientBoosting,context_current,4,0.8123524783634933,0.6316056264103148,0.7176927616050355,0.5405405405405406,0.08997479750935644
future_ge950,GradientBoosting,context_current,5,0.8095495672698663,0.5949899863172475,0.7237411487018096,0.5633802816901409,0.08995906309380734
future_ge950,GradientBoosting,context_current,6,0.8326121164437451,0.5688501583910194,0.7115460267505901,0.5428571428571428,0.08457031808963196
future_ge950,GradientBoosting,context_current,7,0.8009933123524784,0.6308944428158674,0.7197088906372935,0.547945205479452,0.0910190402067184
future_ge950,GradientBoosting,context_current,8,0.819581038552321,0.6161312386175699,0.7379523996852873,0.5915492957746479,0.0932612273148986
future_ge950,GradientBoosting,context_current,9,0.8516915814319433,0.6787329097231212,0.7277734067663257,0.5797101449275363,0.08223085929555785
future_ge950,GradientBoosting,context_current,10,0.8226789929189614,0.6276482303873709,0.7440991345397325,0.5866666666666667,0.09164341281464823
future_ge950,GradientBoosting,g1_current,1,0.8485444531864673,0.6395374978641837,0.7197088906372935,0.547945205479452,0.08830085611169944
future_ge950,GradientBoosting,g1_current,2,0.8165322580645161,0.656823202407893,0.7236428009441385,0.59375,0.07992721496458827
future_ge950,GradientBoosting,g1_current,3,0.8011408339889851,0.5693374129732172,0.7277734067663257,0.5797101449275363,0.09083356363673376
future_ge950,GradientBoosting,g1_current,4,0.7713906372934698,0.6078055094652923,0.7095298977183321,0.5352112676056338,0.09743178570778677
future_ge950,GradientBoosting,g1_current,5,0.8258261211644373,0.6213376957114913,0.7135621557828482,0.5507246376811594,0.0852528986136909
future_ge950,GradientBoosting,g1_current,6,0.8097954366640441,0.6194359519711256,0.7297895357985837,0.5882352941176471,0.09128416063499754
future_ge950,GradientBoosting,g1_current,7,0.8127950432730134,0.6276708371481822,0.7135621557828482,0.5507246376811594,0.09337647404593875
future_ge950,GradientBoosting,g1_current,8,0.7808811959087334,0.6103513182162708,0.6993509047993706,0.5217391304347826,0.09269090676787367
future_ge950,GradientBoosting,g1_current,9,0.8422501966955154,0.663175053509819,0.7318056648308419,0.5970149253731343,0.08028267688247856
future_ge950,GradientBoosting,g1_current,10,0.8446105428796223,0.6875724503143268,0.7338217938631,0.6060606060606061,0.07643790142518317
