outcome,model,feature_set,fold,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,brier
improve_ge75,LogisticRegression,g1_current,4,58,18,40,0.7833333333333333,0.7281269675361524,0.7208333333333333,0.6153846153846154,0.17759328675542652
improve_ge75,LogisticRegression,g1_current,5,57,18,39,0.8618233618233617,0.7647502475854784,0.7884615384615385,0.6976744186046512,0.16524023975743649
improve_ge75,RandomForest,context_current,1,58,19,39,0.709851551956815,0.5447147589336623,0.6747638326585694,0.5714285714285714,0.21381037667157993
improve_ge75,RandomForest,context_current,2,58,19,39,0.738191632928475,0.544139478695461,0.6875843454790823,0.5853658536585366,0.19993100721051282
improve_ge75,RandomForest,context_current,3,58,18,40,0.7416666666666667,0.5017939557647957,0.7208333333333333,0.6153846153846154,0.2028215811436281
improve_ge75,RandomForest,context_current,4,58,18,40,0.7041666666666666,0.6422775286789717,0.6777777777777778,0.5555555555555556,0.196965749567857
improve_ge75,RandomForest,context_current,5,57,18,39,0.8304843304843305,0.6553573801043756,0.7863247863247863,0.7,0.17610562480093359
improve_ge75,RandomForest,g1_current,1,58,19,39,0.7044534412955465,0.5554249371307496,0.6869095816464237,0.5789473684210527,0.20867824639339566
improve_ge75,RandomForest,g1_current,2,58,19,39,0.7503373819163293,0.5692368081992308,0.6734143049932524,0.5555555555555556,0.18917613822454957
improve_ge75,RandomForest,g1_current,3,58,18,40,0.7083333333333334,0.4930908044076139,0.6527777777777778,0.5263157894736842,0.2076782897954003
improve_ge75,RandomForest,g1_current,4,58,18,40,0.6986111111111111,0.6203894138793503,0.6625,0.5294117647058824,0.18773959176628566
improve_ge75,RandomForest,g1_current,5,57,18,39,0.829059829059829,0.7005935091241136,0.7991452991452992,0.717948717948718,0.1758817556624514
improve_ge75,GradientBoosting,context_current,1,58,19,39,0.6686909581646423,0.5236848727125575,0.6228070175438596,0.5116279069767442,0.23754009775821955
improve_ge75,GradientBoosting,context_current,2,58,19,39,0.738191632928475,0.6249490746773354,0.6869095816464237,0.5789473684210527,0.19057275787564526
improve_ge75,GradientBoosting,context_current,3,58,18,40,0.7,0.4831302264217119,0.5694444444444444,0.4,0.22674207661150322
improve_ge75,GradientBoosting,context_current,4,58,18,40,0.6604166666666667,0.487960668111172,0.6194444444444445,0.45161290322580644,0.22681280067458834
improve_ge75,GradientBoosting,context_current,5,57,18,39,0.6766381766381766,0.42869462262022767,0.5769230769230769,0.3870967741935484,0.23189087253650656
improve_ge75,GradientBoosting,g1_current,1,58,19,39,0.6585695006747638,0.5217928572514013,0.6356275303643725,0.5238095238095238,0.23999410379035876
improve_ge75,GradientBoosting,g1_current,2,58,19,39,0.7206477732793523,0.5235243838315202,0.6072874493927125,0.4375,0.21717052402658846
improve_ge75,GradientBoosting,g1_current,3,58,18,40,0.6916666666666668,0.5210369170971628,0.5819444444444445,0.4117647058823529,0.24312760245943785
improve_ge75,GradientBoosting,g1_current,4,58,18,40,0.7124999999999999,0.5499510681159965,0.6041666666666666,0.41379310344827586,0.18920678046568543
improve_ge75,GradientBoosting,g1_current,5,57,18,39,0.7279202279202279,0.5330034213341197,0.6153846153846154,0.42857142857142855,0.19992511771037588
future_ge900,LogisticRegression,context_current,1,58,16,42,0.9017857142857143,0.7489685844126635,0.8110119047619048,0.7027027027027027,0.1348607439625779
future_ge900,LogisticRegression,context_current,2,58,16,42,0.8511904761904762,0.6636797681592573,0.8065476190476191,0.6829268292682927,0.15245445256605308
future_ge900,LogisticRegression,context_current,3,58,16,42,0.7767857142857143,0.6053836147696143,0.7172619047619048,0.5882352941176471,0.18467654297191305
future_ge900,LogisticRegression,context_current,4,58,16,42,0.900297619047619,0.8304221101255946,0.8348214285714286,0.7428571428571429,0.11761832993004089
future_ge900,LogisticRegression,context_current,5,57,15,42,0.8507936507936509,0.6126826067746783,0.8452380952380952,0.6976744186046512,0.17820485658145793
future_ge900,LogisticRegression,g1_current,1,58,16,42,0.898809523809524,0.745822771577082,0.8110119047619048,0.7027027027027027,0.13456354626150105
future_ge900,LogisticRegression,g1_current,2,58,16,42,0.8377976190476191,0.6617384977699827,0.8184523809523809,0.7,0.16212559180378167
future_ge900,LogisticRegression,g1_current,3,58,16,42,0.7752976190476191,0.6069855634967865,0.7172619047619048,0.5882352941176471,0.18278889340326296
future_ge900,LogisticRegression,g1_current,4,58,16,42,0.9032738095238095,0.8320074136310549,0.8467261904761905,0.7647058823529411,0.11298404733765556
future_ge900,LogisticRegression,g1_current,5,57,15,42,0.8380952380952381,0.5936876870406282,0.8452380952380952,0.6976744186046512,0.1817851221473977
future_ge900,RandomForest,context_current,1,58,16,42,0.9300595238095238,0.786060242127521,0.8616071428571428,0.75,0.1150430553224441
future_ge900,RandomForest,context_current,2,58,16,42,0.8266369047619048,0.6512263790164448,0.8184523809523809,0.7,0.1573316315043902
future_ge900,RandomForest,context_current,3,58,16,42,0.7886904761904762,0.5292843533147578,0.7172619047619048,0.5882352941176471,0.1718388247128832
future_ge900,RandomForest,context_current,4,58,16,42,0.8958333333333333,0.8576589209401709,0.8586309523809523,0.7878787878787878,0.11508515955245353
